,CHAN1,CHAN2,CHAN3,CHAN4,time
394,-9.628,3.92,-6.0,6.0544,-0.00010299999999999998
395,-9.976,4.08,-6.16,5.913600000000001,-0.00010249999999999997
396,-9.976,4.08,-6.0,6.0544,-0.00010199999999999999
397,-9.628,3.92,-6.16,5.913600000000001,-0.00010149999999999997
398,-9.628,4.08,-6.0,6.0544,-0.00010099999999999999
399,-9.976,4.0,-6.08,5.984,-0.00010049999999999998
400,-9.628,4.0,-6.0,5.984,-9.999999999999999e-05
401,-9.976,4.08,-6.16,6.0544,-9.949999999999998e-05
402,-9.976,4.0,-6.0,6.0544,-9.9e-05
403,-9.628,4.16,-6.08,5.984,-9.849999999999998e-05
404,-9.860000000000001,4.0,-6.0,6.0544,-9.799999999999997e-05
405,-9.628,4.16,-6.08,5.984,-9.749999999999998e-05
406,-9.976,4.16,-6.0,5.984,-9.699999999999997e-05
407,-9.512,4.0,-6.08,6.0544,-9.649999999999999e-05
408,-9.628,4.0,-6.0,5.984,-9.599999999999998e-05
409,-9.976,4.24,-6.08,6.0544,-9.549999999999999e-05
410,-9.628,4.16,-6.0,6.0544,-9.499999999999998e-05
411,-9.976,4.08,-6.08,5.984,-9.449999999999999e-05
412,-9.628,4.08,-6.0,5.984,-9.399999999999998e-05
413,-9.976,4.24,-6.08,6.0544,-9.35e-05
414,-9.628,4.24,-6.0,5.984,-9.299999999999998e-05
415,-9.976,4.08,-6.16,6.0544,-9.249999999999997e-05
416,-9.628,4.24,-6.0,6.0544,-9.199999999999999e-05
417,-9.976,4.16,-6.08,5.913600000000001,-9.149999999999997e-05
418,-9.976,4.24,-6.0,5.913600000000001,-9.099999999999999e-05
419,-9.628,4.16,-6.08,6.0544,-9.049999999999998e-05
420,-9.628,4.16,-6.0,6.0544,-8.999999999999999e-05
421,-9.976,4.32,-6.08,5.984,-8.949999999999998e-05
422,-9.628,4.16,-6.0,6.0544,-8.9e-05
423,-9.976,4.32,-6.08,5.984,-8.849999999999998e-05
424,-9.628,4.32,-6.0,6.0544,-8.799999999999997e-05
425,-9.976,4.16,-6.08,5.984,-8.749999999999999e-05
426,-9.628,4.32,-6.0,6.0544,-8.699999999999997e-05
427,-9.976,4.24,-6.08,5.984,-8.649999999999999e-05
428,-9.628,4.32,-6.0,5.913600000000001,-8.599999999999998e-05
429,-9.976,4.24,-6.08,6.1248000000000005,-8.549999999999999e-05
